SL_NO.,pEC50_ML,B05[O-O],B08[N-O],B08[O-F],F09[O-F],pIC50_CL
9,5.509,0,0,1,0,7.699
18,5.762,0,0,1,3,6.114
10,5.539,0,0,0,0,7.018
35,6.071,1,0,1,1,9.155
1,5.706,0,0,0,0,6.745
5,5.368,0,0,0,0,6.481
30,5.764,1,0,1,1,8.553
16,6.377,0,0,0,0,7.456
20,6.553,0,0,0,0,8.119
6,5.02,0,0,0,0,6.131
12,5.71,0,0,0,0,6.854
2,5.959,0,1,0,0,7
25,5.408,0,0,1,3,5.907
3,5.431,0,1,0,0,6.357
34,6.252,1,0,1,1,9.301
4,6.658,0,0,0,0,8.237
33,6.108,1,0,1,1,9.398
24,5.674,1,0,1,1,9
28,5.271,0,0,0,0,6.854
11,6.495,0,0,0,0,8.367
23,5.69,0,0,0,0,7.328
19,5.47,0,0,0,3,4.775
26,6.444,0,0,0,0,7.959
7,5.551,0,1,0,0,6.041
21,5.955,1,0,1,1,8.824
8,6.398,0,0,0,0,7.222
15,6.097,0,0,0,0,7.432
29,5.4,0,0,0,0,6.745
